event_id,shot_statsbomb_xg,shot_outcome,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,end_x,end_y,end_z
564e2a0e-cc5c-4de1-b3b6-e15526ab833e,0.06041742,Off T,Right Foot,Free Kick,Normal,False,False,120.0,37.9,4.0
360acaa3-1e74-46ef-812c-fe39385d6798,0.10235278,Off T,Right Foot,Open Play,Volley,True,False,120.0,42.1,4.1
35a37c52-0808-433d-887a-d24a1e29c0c6,0.14244156,Saved,Right Foot,Open Play,Normal,False,False,115.7,43.0,0.0
167c79d8-3701-4e5d-8acc-820745535f50,0.12626846,Goal,Left Foot,Open Play,Normal,True,False,120.0,39.4,2.0
230482f0-409f-4530-a7c7-aec660ba6693,0.35421708,Goal,Left Foot,Open Play,Normal,True,False,120.0,38.7,0.0
9219adda-7d09-4b99-b875-135a1d7f9a5e,0.05648822,Blocked,Right Foot,Open Play,Normal,False,False,101.4,33.5,
afda1832-ba7f-410e-a21b-84a638564fd4,0.16645105,Saved,Right Foot,Open Play,Lob,True,False,103.7,41.2,1.9
797ff8a6-32dd-4d49-a33d-93640e87cc48,0.0464408,Saved,Head,Open Play,Normal,False,False,117.8,38.2,1.6
5a4b1c5b-b2b9-4937-9562-2cee4815f498,0.4281581,Off T,Right Foot,Open Play,Normal,False,True,120.0,44.9,0.6
5f4367f5-4523-47c5-823a-9ff6c887623c,0.009901251,Off T,Right Foot,Open Play,Lob,False,False,120.0,43.4,3.9
00642d88-912e-49e3-8789-870a180df809,0.37236434,Saved to Post,Right Foot,Open Play,Normal,True,False,117.9,41.3,1.9
f2936c29-8ef8-4992-9931-16dcc7dfddd5,0.025211615,Saved,Right Foot,Open Play,Normal,False,False,117.9,37.1,0.9
9a37f581-9233-494c-8824-894983ee9f73,0.13778277,Goal,Right Foot,Open Play,Normal,True,False,120.0,42.4,0.0
3cd2f39a-30eb-44a2-9b66-4d45d130c069,0.096089765,Off T,Left Foot,Open Play,Normal,False,False,120.0,35.6,2.4
