"player_id","player_name","position_name","season","events","passes","shots","carries","pressures","goals","xg","assists"
3493,"Emre Can","Left Center Midfield","2015/2016","6162","1782","31","1398","570","1","2.1141365590000003","0"
3605,"Sung-Yeung Ki","Left Center Midfield","2015/2016","4046","1189","24","994","332","2","2.258054574","1"
3662,"Danny Drinkwater","Left Center Midfield","2015/2016","6834","2033","42","1448","779","2","1.7761880454999999","7"
20067,"Darron Gibson","Left Center Midfield","2015/2016","568","177","2","135","37","0","0.024389918","1"
3057,"Jonjo Shelvey","Left Center Midfield","2015/2016","5001","1593","57","1211","332","1","2.7052369762999997","4"
5460,"Andrej Kramarić","Left Center Midfield","2015/2016","54","15","1","11","6","0","0.36157164","1"
5540,"Valon Behrami","Left Center Midfield","2015/2016","2114","519","1","372","434","0","0.019907001","1"
3595,"Manuel Lanzini","Left Center Midfield","2015/2016","4269","1119","48","1122","278","5","3.446542671999999","2"
10931,"Joe Allen","Left Center Midfield","2015/2016","1644","413","12","337","213","2","2.1233271179999997","1"
3436,"Idrissa Gana Gueye","Left Center Midfield","2015/2016","7255","1906","30","1621","1001","0","1.086028215","1"
4817,"Joe Ledley","Left Center Midfield","2015/2016","1390","396","7","244","209","1","0.3559894019999999","0"
3490,"James Morrison","Left Center Midfield","2015/2016","2378","615","24","535","252","3","2.4502182710000007","2"
42947,"Leon Osman","Left Center Midfield","2015/2016","567","152","3","137","49","0","0.246678815","0"
9578,"Jonathan Howson","Left Center Midfield","2015/2016","5084","1338","35","1035","651","3","2.3553651122000003","3"
3874,"Mark Noble","Left Center Midfield","2015/2016","6565","1943","34","1477","603","7","4.019765458","5"
8520,"Nabil Bentaleb","Left Center Midfield","2015/2016","333","100","3","81","31","0","0.1347764505","0"
18751,"Jack Rodwell","Left Center Midfield","2015/2016","1683","462","27","324","194","1","2.5310200800000002","0"
43627,"Jordi Gómez García-Penche","Left Center Midfield","2015/2016","533","173","2","99","46","0","0.022011260999999997","0"
3272,"Oriol Romeu Vidal","Left Defensive Midfield","2015/2016","3089","830","29","635","428","1","2.50753823","0"
40127,"Ryan Mason","Left Defensive Midfield","2015/2016","1899","543","19","449","168","1","2.742054695","0"
3310,"Tom Carroll","Left Defensive Midfield","2015/2016","1290","361","5","279","161","1","0.212013576","0"
3961,"N''Golo Kanté","Left Defensive Midfield","2015/2016","5771","1476","21","1149","906","1","0.7659033804999998","4"
4597,"Fabian Delph","Left Defensive Midfield","2015/2016","1833","471","13","455","161","2","0.32970794169999995","0"
3636,"Charlie Adam","Left Defensive Midfield","2015/2016","2089","590","28","456","205","1","0.9784929336999998","1"
18414,"Bastian Schweinsteiger","Left Defensive Midfield","2015/2016","3605","1086","12","891","243","1","1.378185402","0"
3381,"Nemanja Matić","Left Defensive Midfield","2015/2016","5543","1653","34","1298","486","2","2.3584048279999994","2"
16181,"Jordy Clasie","Left Defensive Midfield","2015/2016","2794","828","14","544","433","0","0.5404466760000001","0"
3054,"Fernando Luiz Rosa","Left Defensive Midfield","2015/2016","6630","1894","30","1538","705","2","1.584848154","4"
3517,"Aaron Ramsey","Left Defensive Midfield","2015/2016","8052","2197","67","1958","696","5","7.420695429799999","4"
3626,"Ben Watson","Left Defensive Midfield","2015/2016","4842","1599","16","900","608","1","0.5154302259999999","0"
9649,"Jack Colback","Left Defensive Midfield","2015/2016","4120","1175","16","810","591","1","1.021766656","1"
